file1, ASCII text, 8,2019-04-04T22:20:36, 2019-04-04T22:20:36, 2019-04-04T22:20:36, 714a9fdc02b32d26d8a9b74bd652ccc5, f1ae35d74178f298c5e4bd9359293f169f02b6de, 78198b5f7531bb211b1d7accf38b1d2371e91aea7f479a66a4b35e37755126c5
file5, ASCII text, 19,2019-04-04T22:20:36, 2019-04-04T22:20:36, 2019-04-04T22:20:36, bcbf2096a11195d7394656e34e3d971d, fba3e4b23176b18ef17cf8764e319e2c0bccd6e5, 76917c5305fa1edf4840d4d4307cf430dc22b0659e9cf4cbaee1757073444c05
gf.txt, ASCII text| with no line terminators, 9,2019-04-04T22:20:36, 2019-04-04T22:20:36, 2019-04-04T22:20:36, d970019ea54182a6259b47409af28de2, 146edb5055c4236ab7a07b5aa264de5b6e76c1e9, bbe571c8b767d648b65419743dfe851def6f85469edb934e7bf79b2c99765589
moretest, ASCII text, 11,2019-04-04T22:20:36, 2019-04-04T22:20:36, 2019-04-04T22:20:36, 6caaf4128c4023cc0865d2f76cc601f3, 442a1e56671e0061e3f0736c91df5ca55919a001, 109c03bfcfdaa866b0ed7a87ea43a33844df86dd6b97fbb8a9b7e6014d761dc7
file2, ASCII text| with no line terminators, 5,2019-04-04T22:20:36, 2019-04-04T22:20:36, 2019-04-04T22:20:36, 1c1c96fd2cf8330db0bfa936ce82f3b9, cb99b709a1978bd205ab9dfd4c5aaa1fc91c7523, 3377870dfeaaa7adf79a374d2702a3fdb13e5e5ea0dd8aa95a802ad39044a92f
.file4, ASCII text| with no line terminators, 5,2019-04-04T22:20:36, 2019-04-04T22:20:36, 2019-04-04T22:20:36, 025ad219ece1125a8f5a0e74e32676cb, 1b641bf4f6b84efcd42920ff1a88ff2f97fb9d08, 600456c60420b0c6ddfe3b8d50cb6e63af544fb26c5715ae58a601bcca9a055d
file3, ASCII text, 6,2019-04-04T22:20:36, 2019-04-04T22:20:36, 2019-04-04T22:20:36, 60b91f1875424d3b4322b0fdd0529d5d, 1eb2267bae4e47cab81f8866bbc7e06764ea9be0, 94f6e58bd04a4513b8301e75f40527cf7610c66d1960b26f6ac2e743e108bdac
